

Section,Variable Name,Variable Label,
Education Experiences   ,CMPUSE84,"Used mini/mainframe for ed/job to 1984",
Education Experiences   ,COMPRG84,"Computer programming experience to 1984",
Education Experiences   ,COMSOF84,"Used complex software packages to 1984",
Education Experiences   ,DISINDEX,"Index of satisfaction with postsecondary educ",
Education Experiences   ,INTRAIN,"School/training last week",
Education Experiences   ,Y4103H,"During 9206 on active duty in the armed forces",
Education Experiences   ,Y4103I,"During 9206 keeping house",
Education Experiences   ,Y4103J,"During 9206 taking a break last week",
Education Experiences   ,Y4103K,"During 9206 other activity last week",
Education Experiences   ,Y4203L01,"First institution varsity athletics",
Education Experiences   ,YB034L,"Co-op club 80",
Education Experiences   ,YB056A,"Music lessons 80",
Education Experiences   ,YB056B,"Traveled outside of state 80",
Education Experiences   ,YB056C,"Dance lessons 80",
Education Experiences   ,YB056D,"Ever visited a museum 80",
Education Experiences   ,YB056E,"Ever took aptitude test outside school 80",
Education Experiences   ,YB056F,"Ever traveled outside US 80",
Education Experiences   ,YB056G,"Ever been to professional ballgame 80",
Education Experiences   ,YB056H,"Ever been to a rock concert 80",
Education Future   ,ACTIVBY,"Dominant activity after HS as seen in 1980",
Education Future   ,ACTIVFU,"Dominant activity after HS as seen in 1982",
Education Future   ,BB050A,"Father after high school aspiration 80",
Education Future   ,BB050B,"Mother after high school aspiration 80",
Education Future   ,BB065,"Schooling think will get in 1980",
Education Future   ,BB068A,"College expectations in 8th grade",
Education Future   ,BB068B,"College expectations in 9th grade",
Education Future   ,CHAN8284,"Change in expected level of educ, 1982 to 1984",
Education Future   ,COLLPL80,"College plans in 1980",
Education Future   ,COLLPL82,"College plans in 1982",
Education Future   ,DNESCHLA,"Expect higher degree",
Education Future   ,EDASP82,"Educational aspirations in 1982",
Education Future   ,EDEXP92,"Educational expectations in 1992",
Education Future   ,EDMINCHG,"Change in min satisfactory ed attainment, 1980-82",
Education Future   ,EDPL84,"Highest level of ed expected, 1984",
Education Future   ,EDUCEXP,"Pre-college educational expectations",
Education Future   ,FY63A,"Father after high school aspiration 82",
Education Future   ,FY63B,"Mother after high school aspiration 82",
Education Future   ,LAW86,"Considered or pursued law degree",
Education Future   ,MAST86,"Considered or pursued masters degree",
Education Future   ,MBA86,"Considered or pursued mba degree",
Education Future   ,MED86,"Considered or pursued medical/dental degree",
Education Future   ,METEX92,"Met educational expectations by 9206",
Education Future   ,PHD86,"Considered doctoral degree",
Education Future   ,PLANMAJ,"Planned college field in 1982",
Education Future   ,POTTEACH,"Potential school teacher",
Education Future   ,PSEPLANS,"Postsecondary expectations 1982",
Education Future   ,YB072A,"College expectations in 6th grade",
Education Future   ,YB072B,"College expectations in 7th grade",
Education Performance   ,BADCOURS,"Number of drop, withdrawal, incomplete courses",
Education Performance   ,DWINDEX,"Ratio withdrawals, etc to all grades received",
Education Performance   ,FOURGPA,"GPA among four students",
Education Performance   ,FY59,"Ever repeated grade/held back",
Education Performance   ,FY59AA,"Repeated 1st grade",
Education Performance   ,FY59AB,"Repeated 2nd grade",
Education Performance   ,FY59AC,"Repeated 3rd grade",
Education Performance   ,FY59AD,"Repeated 4th grade",
Education Performance   ,FY59AE,"Repeated 5th grade",
Education Performance   ,FY59AF,"Repeated 6th grade",
Education Performance   ,FY59AG,"Repeated 7th grade",
Education Performance   ,FY59AH,"Repeated 8th grade",
Education Performance   ,FY59AI,"Repeated 9th grade",
Education Performance   ,GPA,"Undergraduate GPA",
Education Performance   ,GPA1,"GPA in 1st true year of attendance",
Education Performance   ,GPA1Q,"GPA quintiles for first year in college",
Education Performance   ,GPABUS,"GPA in undergrad business courses",
Education Performance   ,GPACALC,"GPA in undergrad calculus and advanced math",
Education Performance   ,GPACMPS,"GPA in undergrad computer science courses",
Education Performance   ,GPACMTH,"GPA in college level mathematics courses",
Education Performance   ,GPACOMM,"GPA in communication and writing courses",
Education Performance   ,GPAECON,"GPA in undergrad economics courses",
Education Performance   ,GPAEDU,"GPA in undergrad education courses",
Education Performance   ,GPAENGN,"GPA in undergrad engineering courses",
Education Performance   ,GPAFLAN,"GPA in undergrad foreign language courses",
Education Performance   ,GPAHIST,"GPA in undergraduate history courses",
Education Performance   ,GPAPSY,"GPA in undergraduate psychology courses",
Education Performance   ,GPARAT,"Ratio 1st year GPA to final GPA",
Education Performance   ,GPASCI,"GPA in undergrad core science courses",
Education Performance   ,GPASCI1,"GPA in level 1 science courses",
Education Performance   ,GPASTAT,"GPA in undergraduate statistics courses",
Education Performance   ,GPATREND,"Trichotomized trend in GPA",
Education Performance   ,SELFPSGR,"Self-reported postsecondary grades to 1984",
Education Performance   ,TCRDBNEW,"Revised total undergraduate credits earned",
Education Performance   ,TCREDC,"Total undergraduate credits attempted",
Education Performance   ,TCREDE,"Total credits in first year college",
Education Performance   ,TCREDX,"Credits by examination",
Education Performance   ,UG1GPA,"GPA for first academic year of PSE",
Education Persistence   ,ATNDTYPA,"When first attended private for-profit institution",
Education Persistence   ,ATNDTYPB,"When first attended 2-year private NFP institution",
Education Persistence   ,ATNDTYPC,"When first attended 2-year public institution",
Education Persistence   ,ATNDTYPD,"When first attended 4-year private NFP institution",
Education Persistence   ,ATNDTYPE,"When first attended 4-year public institution",
Education Persistence   ,BACHTIME,"Elapsed time to Bachelor's degree",
Education Persistence   ,BACHTTD,"Standard time to Bachelor's degree",
Education Persistence   ,BATIME,"Raw time to Bachelor's degree",
Education Persistence   ,BEGIN,"Date began postsecondary education",
Education Persistence   ,DELAY,"Gap between college entry and HS graduation",
Education Persistence   ,DELAYTRI,"Extent of delayed entry to postsecondary ed",
Education Persistence   ,F2YR,"First date attended 2-yr college",
Education Persistence   ,F4YR,"First date attended 4-yr college",
Education Persistence   ,FY17,"Longest time away from school (not ill) 82",
Education Persistence   ,GAPTYPE,"Timing of enrollment interruption",
Education Persistence   ,INSCHOOL,"In school at any time 1991-1993",
Education Persistence   ,L2YR,"Last date attended 2-yr college",
Education Persistence   ,L4YR,"Last date attended 4-yr college",
Education Persistence   ,LASTMO,"Month of last undergraduate term",
Education Persistence   ,MONSTRT,"Time between high school and postsecondary",
Education Persistence   ,MTHENR,"Months enrolled",
Education Persistence   ,NALL,"Number of academic years at 2/4-yr inst.",
Education Persistence   ,PSBEG,"Ostensible 1st date in postsecondary ed",
Education Persistence   ,PSEND,"Date of last term of postsec attendance",
Education Persistence   ,PSSPELLA,"Number of spells prior to receiving certificate",
Education Persistence   ,PSSPELLB,"Number of spells prior to receiving associates degree",
Education Persistence   ,PSSPELLC,"Number of spells prior to receiving bachelors degree",
Education Persistence   ,PSSPELLD,"Number of spells prior to receiving masters degree",
Education Persistence   ,PSSPELLE,"Number of spells prior to receiving professional degree",
Education Persistence   ,PSSPELLF,"Number of spells prior to receiving doctorate",
Education Persistence   ,PSTIME,"Ostensible total elapsed time in postsec ed",
Education Persistence   ,REFDATE,"Last date of undergraduate attendance",
Education Persistence   ,SCH_MNTH,"How many months enrolled in PSE?",
Education Persistence   ,SCHLMONA,"Time between first postsecondary and certificate",
Education Persistence   ,SCHLMONB,"Time between first postsecondary and associates degree",
Education Persistence   ,SCHLMONC,"Time between first postsecondary and bachelors degree",
Education Persistence   ,SCHLMOND,"Time between first postsecondary and masters degree",
Education Persistence   ,SCHLMONE,"Time between first postsecondary and professional degree",
Education Persistence   ,SCHLMONF,"Time between first postsecondary and doctorate",
Education Persistence   ,SPL1LEN,"Length first spell of postsecondary attendance",
Education Persistence   ,SUMMERS,"Number of undergrad summer terms",
Education Persistence   ,TIME,"Time to first enrollment",
Education Persistence   ,TIMEAA,"Elapsed time to associate's degree",
Education Persistence   ,TIMEBA,"Elapsed time to bachelor's degree",
Education Persistence   ,TOTTIME,"Total elapsed time in postsecondary educ",
Education Persistence   ,TRUMO,"Month began postsecondary education",
Education Persistence   ,UGRDTIME,"Total elapsed undergraduate time",
Education Persistence   ,UGTIME,"Ostensible elapsed undergraduate time",
Education Persistence   ,Y4203C01,"First institution start date",
Education Persistence   ,Y4203E01,"First institution stop date",
Education Program   ,AAMJR,"Associate's major",
Education Program   ,BACHLOAD,"Annualized credit load for Bachelor's degree",
Education Program   ,BAMJR,"Bachelor's major",
Education Program   ,CODE5,"Field of post-baccalarueate coursewor",
Education Program   ,CODE6,"Field of incomplete graduate program",
Education Program   ,FIELD1,"Field of no degree if high",
Education Program   ,FIELD2,"Field of certificate if high",
Education Program   ,FIELD3,"Field of Associate's if high",
Education Program   ,FIELD4,"Field of Bachelor's if high",
Education Program   ,MAJ4,"Alternate Bachelor's degree major",
Education Program   ,MAJCOD1,"Field of no degree",
Education Program   ,MAJCOD2,"Certificate major",
Education Program   ,MAJCOD3,"AA major",
Education Program   ,MAJCOD4,"BA major",
Education Program   ,MAJCOD5,"Highest undergraduate degree major",
Education Program   ,MAJCOD6,"Highest undergraduate degree major/double m",
Education Program   ,MAJCOD7,"Field of Master's degree",
Education Program   ,MAJCOD8,"Field of 1st professional degree",
Education Program   ,MAJCOD9,"Field of doctoral degree",
Education Program   ,NOMJR,"Aggregate field for no degree, if high",
Education Program   ,PGM_GNDR,"Gender dominance of major field of study, highest deg./cert.",
Education Program   ,PSE_ATMT,"For non-attainers, what degree/certificate was attempted",
Education Program   ,UGGRP,"Undergraduate major group",
Education Program   ,UGMAJ2,"Undergraduate major",
Education Program   ,UGMAJOR,"Major field of study for bachelor's degree",
Education Program   ,Y4103G,"During 9206 apprenticeship or government train program",
Education Program   ,Y4203N01,"First institution major field of study",
Education Reasons School Choice  ,CHOICE80,"Preference of 2-yr or 4-yr in 1980",
Education Reasons School Choice  ,CHOICE82,"Preference of 2-yr or 4-yr in 1982",
Education Reasons School Choice  ,FY123A,"College costs 82",
Education Reasons School Choice  ,FY123B,"Financial aid 82",
Education Reasons School Choice  ,FY123C,"Courses available 82",
Education Reasons School Choice  ,FY123D,"Reputation of college 82",
Education Reasons School Choice  ,FY123E,"Athletics in college 82",
Education Reasons School Choice  ,FY123F,"Social life 82",
Education Reasons School Choice  ,FY123G,"Living at home 82",
Education Reasons School Choice  ,FY123H,"Living away from home 82",
Education Reasons School Choice  ,FY123I,"Religious environment 82",
Education Reasons School Choice  ,FY123J,"Low crime rate 82",
Education Reasons School Choice  ,FY123K,"Job placement 82",
Education Reasons School Choice  ,SEL1,"Selectivity of instit of no degree",
Education Reasons School Choice  ,SEL3,"Selectivity of instit of Associate's degree",
Education Reasons School Choice  ,SEL4,"Selectivity of instit of Bachelor's degree",
Education Reasons School Choice  ,SY14D1L,"Loans offered at first choice",
Education Reasons School Choice  ,SY14D1P,"Job value offered at first choice",
Education Reasons School Choice  ,SY14D1S,"Grants offered at first choice",
Education Reasons School Choice  ,Y4212,"Offered financial aid at 1st choice",
Education Tests   ,BYTEST,"Test score composite 1980",
Education Tests   ,FUTEST,"Test score composite 1982",
Education Tests   ,MATHP,"IRT gain score math 80-82",
Education Tests   ,READP,"IRT gain score reading 80-82",
Education Tests   ,SATREV,"Revised SAT/ACT scores equated",
Education Tests   ,SCINP,"IRT gain score science 80-82",
Education Tests   ,SENREADQ,"Senior reading test quintile",
Education Tests   ,SRTESTQ,"Senior test quarile",
Education Tests   ,SRTESTQ2,"Senior HS test quintiles",
Education Tests   ,SRTSPCT2,"Senior test percentile-adjusted",
Education Tests   ,SRTSQUIN,"senior test quintile (unadjusted)",
Education Tests   ,SRTSTPCT,"Senior test percentile (unadjusted)",
Education Tests   ,VOCALP,"IRT gain score vocabulary 80-82",
Education Tests   ,WRITP,"IRT gain score writing 80-82",
Education Tests   ,Y4207A,"Took graduate/professional admission exams",
Education Tests   ,Y4207B,"Dental Admission Test (DAT)",
Education Tests   ,Y4207C,"Graduate Management Admission Test (GMAT)",
Education Tests   ,Y4207D,"Graduate Record Examination (GRE)",
Education Tests   ,Y4207E,"Law School Admission Test (LSAT)",
Education Tests   ,Y4207F,"Medical College Admission Test (MCAT)",
Education Tests   ,Y4207G,"Other admission exams",
Education Tests   ,Y4313A01,"Date pass accounting exam",
Education Tests   ,Y4313B01,"Date pass air pilot licensure",
Education Tests   ,Y4313C01,"Date pass air traffic control exam",
Education Tests   ,Y4313D01,"Date pass architecture exam",
Education Tests   ,Y4313E01,"Date pass exam broadcasting (FCC)",
Education Tests   ,Y4313G01,"Date pass dietician exam",
Education Tests   ,Y4313H01,"Date pass electrician exam",
Education Tests   ,Y4313I01,"Date pass engineering exam",
Education Tests   ,Y4313J01,"Date pass law (state bar) exam",
Education Tests   ,Y4313K01,"Date pass medical/dental exam",
Education Tests   ,Y4313L01,"Date pass mortician exam",
Education Tests   ,Y4313M01,"Date pass nursing (RN) exam",
Education Tests   ,Y4313N01,"Date pass nursing (LPN) exam",
Education Tests   ,Y4313O01,"Date pass pharmacist exam",
Education Tests   ,Y4313P01,"Date pass physical therapist exam",
Education Tests   ,Y4313Q01,"Date pass real estate exam",
Education Tests   ,Y4313S01,"Date pass school teaching exam",
Education Tests   ,Y4313T01,"Date pass veterinary exam",
Education Transfer   ,ATRANSFR,"Transfers involving 2-yr and 4-yr colleges",
Education Transfer   ,CREDSTT8,"Unaccounted transfer creds--2-/4-year inst'",
Employment Description   ,ETNECESS,"Necessity of formal educ and training for 1992 job",
Employment Description   ,JOB91,"Aggregate occupation in 1991 (new categories)",
Employment Description   ,JOBRELET,"Relationship of jobs to ed and training",
Employment Description   ,OCC91,"Occupation in 1991 (new categories)",
Employment Description   ,PRESSD,"Occupational prestige standard deviation",
Employment Description   ,PRESTIGE,"Occupational prestige",
Employment Description   ,SKILEARN,"Where job skills were learned",
Employment Description   ,SY46A,"Occupation",
Employment Description   ,Y4303F4,"Occupation code in 1986",
Employment Description   ,Y4303F5,"Occupation code in 1987",
Employment Description   ,Y4303F6,"Occupation code in 1988",
Employment Description   ,Y4303F7,"Occupation code in 1989",
Employment Description   ,Y4303F8,"Occupation code in 1990",
Employment Description   ,Y4303F9,"Occupation code in 1991",
Employment Description   ,Y4303FA,"Occupation code in 1992",
Employment Employer   ,IND91,"Industry of job in 1991 (new categories)",
Employment Employer   ,OWNBUS91,"Owned business in 1991",
Employment Employer   ,SY46B,"Industry",
Employment Employer   ,Y4303C4,"Industry code in 1986",
Employment Employer   ,Y4303C5,"Industry code in 1987",
Employment Employer   ,Y4303C6,"Industry code in 1988",
Employment Employer   ,Y4303C7,"Industry code in 1989",
Employment Employer   ,Y4303C8,"Industry code in 1990",
Employment Employer   ,Y4303C9,"Industry code in 1991",
Employment Employer   ,Y4303CA,"Industry code in 1992",
Employment Employer   ,Y4506C,"Percent in present workplace same race",
Employment Future   ,ANTOCC84,"Anticipated (in 1984) occup at age 30",
Employment Future   ,ANTOCC86,"Anticipated (in 1986) occup at age 30",
Employment Future   ,BB062,"Occupational aspiration for age 30 in 1980",
Employment Future   ,FY77A,"Occupational aspiration for age 30 in 1982",
Employment Future   ,JOB30VIS,"Consistency of occupational goal",
Employment Future   ,SALES84,"Possibility of working in sales 1984",
Employment Future   ,TEACH84,"Possibility of being a teacher 1984",
Employment Future   ,VALUSTED,"Steady work",
Employment Future   ,VALUWORK,"Success in work",
Employment Future   ,WAITER84,"Possibility of working as a waiter 1984",
Employment Licensure   ,ATMDEGA,"When first attempted certificate or license",
Employment Licensure   ,LICENSE,"Licensure exams passed by 1992",
Employment Satisfaction   ,IOM82,"Importance of income in work 1982",
Employment Satisfaction   ,IOM86,"Importance of income in work 1986",
Employment Satisfaction   ,JOBSAT92,"Work satisfaction",
Employment Satisfaction   ,SAT92A,"Satisfied with pay and benefits 1992",
Employment Satisfaction   ,SAT92B,"Satisfied with job challenge and importance 1992",
Employment Satisfaction   ,SAT92C,"Satisfied with working conditions 1992",
Employment Satisfaction   ,SAT92D,"Satisfied with opportunities for career advancement 1992",
Employment Satisfaction   ,SAT92E,"Satisfied with job security 1992",
Employment Satisfaction   ,SAT92F,"Satisfied with supervisor 1992",
Employment Satisfaction   ,SAT92G,"Satisfied with relationships with co-workers 1992",
Employment Satisfaction   ,SAT92H,"Satisfied with educational opportunities 1992",
Employment Satisfaction   ,SATCON84,"Satisfaction with job conditions 1984",
Employment Satisfaction   ,SATCON86,"Satisfaction with job conditions 1986",
Employment Satisfaction   ,SATPRD84,"Satisfaction productive aspects of job 1984",
Employment Satisfaction   ,SATPRD86,"Satisfaction productive aspects of job 1986",
Employment Search   ,SY46J,"How found job",
Employment Search   ,SY46K,"Why left job",
Employment Search   ,Y4103B,"During 9206 looking for work",
Employment Status   ,AVEEMPM1,"Employment duration since 8206",
Employment Status   ,AVEEMPM2,"Employment duration since last postsecondary",
Employment Status   ,AVEEMPM3,"Employment duration since highest degree",
Employment Status   ,AVEJOBN4,"Ave number of jobs annually 1988-91",
Employment Status   ,AVELFPM1,"Length of labor force participation since 8206",
Employment Status   ,AVELFPM2,"Length of labor force participation since last postsecondary",
Employment Status   ,AVELFPM3,"Length of labor force participation since highest degree",
Employment Status   ,AVEUNEM1,"Unemployment duration since 8206",
Employment Status   ,AVEUNEM2,"Unemployment duration since last postsecondary",
Employment Status   ,AVEUNEM3,"Unemployment duration since highest degree",
Employment Status   ,CONS_EMP,"Was the respondent employed consistently",
Employment Status   ,EMP90,"Months employed 1990",
Employment Status   ,EMP91,"Months employed 1991",
Employment Status   ,EMPLMON1,"Employment since 8206",
Employment Status   ,EMPLMON2,"Employment since last postsecondary attendance",
Employment Status   ,EMPLMON3,"Employment since highest degree",
Employment Status   ,EMPRAT1,"Ratio employ to known labor force status 86-91",
Employment Status   ,EMPRAT2,"Restricted employment ratio 1986-91",
Employment Status   ,EMPSPEL1,"Number of jobs since 8206",
Employment Status   ,EMPSPEL2,"Number of jobs since last postsecondary",
Employment Status   ,EMPSPEL3,"Number of jobs since highest degree",
Employment Status   ,EMPTOT,"Months employed 1986-1991",
Employment Status   ,EMST8601,"Employment status 8601",
Employment Status   ,EMST8602,"Employment status 8602",
Employment Status   ,EMST8603,"Employment status 8603",
Employment Status   ,EMST8604,"Employment status 8604",
Employment Status   ,EMST8605,"Employment status 8605",
Employment Status   ,EMST8606,"Employment status 8606",
Employment Status   ,EMST8607,"Employment status 8607",
Employment Status   ,EMST8608,"Employment status 8608",
Employment Status   ,EMST8609,"Employment status 8609",
Employment Status   ,EMST8610,"Employment status 8610",
Employment Status   ,EMST8611,"Employment status 8611",
Employment Status   ,EMST8612,"Employment status 8612",
Employment Status   ,EMST8701,"Employment status 8701",
Employment Status   ,EMST8702,"Employment status 8702",
Employment Status   ,EMST8703,"Employment status 8703",
Employment Status   ,EMST8704,"Employment status 8704",
Employment Status   ,EMST8705,"Employment status 8705",
Employment Status   ,EMST8706,"Employment status 8706",
Employment Status   ,EMST8707,"Employment status 8707",
Employment Status   ,EMST8708,"Employment status 8708",
Employment Status   ,EMST8709,"Employment status 8709",
Employment Status   ,EMST8710,"Employment status 8710",
Employment Status   ,EMST8711,"Employment status 8711",
Employment Status   ,EMST8712,"Employment status 8712",
Employment Status   ,EMST8801,"Employment status 8801",
Employment Status   ,EMST8802,"Employment status 8802",
Employment Status   ,EMST8803,"Employment status 8803",
Employment Status   ,EMST8804,"Employment status 8804",
Employment Status   ,EMST8805,"Employment status 8805",
Employment Status   ,EMST8806,"Employment status 8806",
Employment Status   ,EMST8807,"Employment status 8807",
Employment Status   ,EMST8808,"Employment status 8808",
Employment Status   ,EMST8809,"Employment status 8809",
Employment Status   ,EMST8810,"Employment status 8810",
Employment Status   ,EMST8811,"Employment status 8811",
Employment Status   ,EMST8812,"Employment status 8812",
Employment Status   ,EMST8901,"Employment status 8901",
Employment Status   ,EMST8902,"Employment status 8902",
Employment Status   ,EMST8903,"Employment status 8903",
Employment Status   ,EMST8904,"Employment status 8904",
Employment Status   ,EMST8905,"Employment status 8905",
Employment Status   ,EMST8906,"Employment status 8906",
Employment Status   ,EMST8907,"Employment status 8907",
Employment Status   ,EMST8908,"Employment status 8908",
Employment Status   ,EMST8909,"Employment status 8909",
Employment Status   ,EMST8910,"Employment status 8910",
Employment Status   ,EMST8911,"Employment status 8911",
Employment Status   ,EMST8912,"Employment status 8912",
Employment Status   ,EMST9001,"Employment status 9001",
Employment Status   ,EMST9002,"Employment status 9002",
Employment Status   ,EMST9003,"Employment status 9003",
Employment Status   ,EMST9004,"Employment status 9004",
Employment Status   ,EMST9005,"Employment status 9005",
Employment Status   ,EMST9006,"Employment status 9006",
Employment Status   ,EMST9007,"Employment status 9007",
Employment Status   ,EMST9008,"Employment status 9008",
Employment Status   ,EMST9009,"Employment status 9009",
Employment Status   ,EMST9010,"Employment status 9010",
Employment Status   ,EMST9011,"Employment status 9011",
Employment Status   ,EMST9012,"Employment status 9012",
Employment Status   ,EMST9101,"Employment status 9101",
Employment Status   ,EMST9102,"Employment status 9102",
Employment Status   ,EMST9103,"Employment status 9103",
Employment Status   ,EMST9104,"Employment status 9104",
Employment Status   ,EMST9105,"Employment status 9105",
Employment Status   ,EMST9106,"Employment status 9106",
Employment Status   ,EMST9107,"Employment status 9107",
Employment Status   ,EMST9108,"Employment status 9108",
Employment Status   ,EMST9109,"Employment status 9109",
Employment Status   ,EMST9110,"Employment status 9110",
Employment Status   ,EMST9111,"Employment status 9111",
Employment Status   ,EMST9112,"Employment status 9112",
Employment Status   ,EMST9201,"Employment status 9201",
Employment Status   ,EMST9202,"Employment status 9202",
Employment Status   ,EMST9203,"Employment status 9203",
Employment Status   ,EMST9204,"Employment status 9204",
Employment Status   ,EMST9205,"Employment status 9205",
Employment Status   ,EMST9206,"Employment status 9206",
Employment Status   ,FY24,"Most recent time had worked 82",
Employment Status   ,GLOBAL,"Global preparedness index",
Employment Status   ,JOBSFE83,"Employment status 8302",
Employment Status   ,JOBSFE84,"Employment status 8402",
Employment Status   ,JOBSOC82,"Employment status 8210",
Employment Status   ,JOBSOC83,"Employment status 8310",
Employment Status   ,JOBYRS,"Years in current/most recent job 1992",
Employment Status   ,LABOMON1,"Labor force participation since 8206",
Employment Status   ,LABOMON2,"Labor force participation since last postsecondary",
Employment Status   ,LABOMON3,"Labor force participation since highest degree",
Employment Status   ,LABOR_YR,"Number of years in labor force",
Employment Status   ,LFI,"Labor Force index (1983-1990)",
Employment Status   ,LFIA,"Labor Force index (1983-1986)",
Employment Status   ,LFIB,"Labor Force index (1987-1990)",
Employment Status   ,LFPSPEL1,"Number of labor force spells since 8206",
Employment Status   ,LFPSPEL2,"Number of labor force spells since last postsecondary",
Employment Status   ,LFPSPEL3,"Number of labor force spells since highest degree",
Employment Status   ,MTHEMP,"Months employment",
Employment Status   ,NUMMNTHS,"Number of months employed",
Employment Status   ,OLF90,"Months out of the labor force 1990",
Employment Status   ,OLF91,"Months out of the labor force 1991",
Employment Status   ,OLFRAT,"Ratio of olf to known labor force status 1986-91",
Employment Status   ,OLFTOT,"Months out of labor force 1986-1991",
Employment Status   ,PERC_EMP,"Pct of months respondent is working compared to workforce",
Employment Status   ,PERCEMP1,"Percent time worked buring break in PSE?",
Employment Status   ,PROPEMP1,"Proportion months employed since 8206",
Employment Status   ,PROPEMP2,"Proportion months employed since last postsecondary",
Employment Status   ,PROPEMP3,"Proportion months employed between highest degree & 9206",
Employment Status   ,PROPLFP1,"Proportion months in labor force since 8206",
Employment Status   ,PROPLFP2,"Proportion months in labor force since last postsecondary",
Employment Status   ,PROPLFP3,"Proportion months in labor force since highest degree",
Employment Status   ,PROPUNE1,"Proportion of months unemployed since 8206",
Employment Status   ,PROPUNE2,"Proportion of months unemployed since last postsecondary",
Employment Status   ,PROPUNE3,"Proportion of months unemployed since highest degree",
Employment Status   ,STWAA,"Employment status after AA degree",
Employment Status   ,STWAA2,"Employment status after AA, no enrollment",
Employment Status   ,STWBA,"Employment status before/after BA degree",
Employment Status   ,STWBA2,"Employment status after BA, no enrollment",
Employment Status   ,STWHS18,"Employment status following grad 18 months",
Employment Status   ,STWHS36,"Employment status following grad 36 months",
Employment Status   ,SY46I,"Intensity (hours/week)",
Employment Status   ,TJOB8386,"Total jobs 1983-1986",
Employment Status   ,TJOB8390,"Total jobs 1983-1990",
Employment Status   ,TJOB8790,"Total jobs 1987-1990",
Employment Status   ,TM3,"Months employed bands--calculated separately by gender",
Employment Status   ,TM8386,"Total months employed 1983-1986",
Employment Status   ,TM8390,"Total months employed 1983-1990",
Employment Status   ,TM8790,"Total months employed 1987-1990",
Employment Status   ,TMON91,"Total Months Worked 1991",
Employment Status   ,UNEM90,"Months unemployed 1990",
Employment Status   ,UNEM91,"Months unemployed 1991",
Employment Status   ,UNEMON1,"Unemployment since 8206",
Employment Status   ,UNEMON2,"Unemployment since last postsecondary",
Employment Status   ,UNEMON3,"Unemployment since highest degree",
Employment Status   ,UNEMRAT1,"Ratio unempl to known labor force status, 86-91",
Employment Status   ,UNEMRAT2,"Restricted unemployment ratio 1986-91",
Employment Status   ,UNEMTOT,"Months unemployed 1986-1991",
Employment Status   ,UNESPEL1,"Number of unemployment spells since 8206",
Employment Status   ,UNESPEL2,"Number of unemployment spells since last postsecondary",
Employment Status   ,UNESPEL3,"Number of unemployment spells since highest degree earned",
Employment Status   ,WORK92,"Work orientation 1992",
Employment Status   ,Y4103A,"During 9206 working for pay full- or part-time",
Employment Status   ,Y4103C,"During 9206 on temporary layoff or waiting to report",
Employment Status   ,Y4301A1,"Number of jobs in 1983",
Employment Status   ,Y4301A2,"Number of jobs in 1984",
Employment Status   ,Y4301A3,"Number of jobs in 1985",
Employment Status   ,Y4301A4Z,"Number of jobs in 1986",
Employment Status   ,Y4301A5Z,"Number of jobs in 1987",
Employment Status   ,Y4301A6Z,"Number of jobs in 1988",
Employment Status   ,Y4301A7Z,"Number of jobs in 1989",
Employment Status   ,Y4301A8Z,"Number of jobs in 1990",
Employment Status   ,Y4301A9Z,"Number of jobs in 1991",
Employment Status   ,Y4301AAZ,"Number of jobs in 1992",
Employment Status   ,Y4301C1,"Hours worked per week in 1983",
Employment Status   ,Y4301C2,"Hours worked per week in 1984",
Employment Status   ,Y4301C3,"Hours worked per week in 1985",
Employment Status   ,Y4304A,"Years at most recent job",
Employment Status   ,Y4304B,"Months at most recent job",
Employment Training   ,EMTRINDX,"Employer Training Index",
Employment Training   ,FORMET92,"Received formal educ and training for 1992 job",
Employment Training   ,HRSTRN,"Amount of job training between 1982 and 1992",
Employment Training   ,JOBTRN1,"Job training between 1982 and 1992",
Employment Training   ,JOBTRN2,"On-the-job training between 1982 and 1992",
Employment Training   ,Y4306,"Employer-provided training or education",
Employment Training   ,Y4307A,"Training during work hours on employer premises",
Employment Training   ,Y4307B,"Informal on-the-job training",
Employment Training   ,Y4307C,"Training during work hours off employer premises",
Employment Training   ,Y4307D,"Employer-paid tuition/financial aid for education",
Employment Training   ,Y4307E,"Other employer-provided training or education",
Employment Training   ,Y4308A,"Number of weeks of training in last 12 months",
Employment Training   ,Y4308B,"Number of hours of training per week",
Employment Training   ,Y4309A,"How different were jobs from training or education",
Employment Training   ,Y4309B,"Used tools or equipment trained to use",
Employment Training   ,Y4309C,"Could have gotten job without educ/training since high school",
Employment Training   ,Y4309D,"Job skills learned in school or training program",
Employment Training   ,Y4311A,"Continuing education or noncredit courses",
Employment Training   ,Y4311B,"Courses by mail/television/radio/newspaper courses",
Employment Training   ,Y4312A,"Executive or management development training",
Employment Training   ,Y4312B,"Supervisory training",
Employment Training   ,Y4312C,"Professional development training",
Employment Training   ,Y4312D,"Technical or skilled worker training",
Employment Training   ,Y4312E,"Word processing or computer software training",
Employment Training   ,Y4312F,"Job health and safety training",
Employment Training   ,Y4312G,"Quality control/statistical proccess control training",
Employment Training   ,Y4312H,"Sales and marketing training",
Employment While Enrolled   ,FY36,"Worked for pay summer 81",
Employment While Enrolled   ,FY37,"Worked for pay last school year",
Employment While Enrolled   ,PROD82,"Productivity orientation 1982",
Employment While Enrolled   ,PROD86,"Productivity orientation 1986",
